Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
1359.4,7.80,,
1359.6,7.90,,
1359.8,8.10,,
1360,8.10,,
1360.2,7.70,,
1360.4,7.30,,
1360.6,7.80,,
1360.8,8.50,,
1361,8.50,,
1361.2,8.30,,
1361.4,8.20,,
1361.6,8.10,,
1361.8,7.90,,
1362,7.70,,
1362.2,7.10,,
1362.4,5.70,,
1362.6,4.50,,
1362.8,4.10,,
1363,4.10,,
1363.2,4.40,,
1363.4,5.00,,
1363.6,6.40,,
1363.8,8.10,,
1364,8.50,,
1364.2,8.40,,
1364.4,8.40,,
1364.6,8.50,,
1364.8,8.50,,
1365,8.90,,
1365.2,9.00,,
1365.4,9.00,,
1365.6,9.10,,
1365.8,9.00,,
1366,8.70,,
1366.2,8.70,,
1366.4,8.60,,
1366.6,8.50,,
1366.8,8.50,,
1367,8.60,,
1367.2,8.60,,
1367.4,8.70,,
1367.6,8.70,,
1367.8,8.70,,
1368,8.60,,
1368.2,9.40,,
1368.4,10.10,,
1368.6,9.30,,
1368.8,8.50,,
1369,7.90,,
1369.2,7.40,,
1369.4,7.50,,
1369.6,8.10,,
1369.8,8.50,,
1370,8.70,,
1370.2,8.90,,
1370.4,9.10,,
1370.6,9.20,,
1370.8,9.30,,
1371,9.20,,
1371.2,8.90,,
1371.4,8.70,,
1371.6,8.70,,
1371.8,8.90,,
1372,8.90,,
1372.2,8.80,,
1372.4,8.70,,
1372.6,9.00,,
1372.8,8.90,,
1373,8.50,,
1373.2,8.10,,
1373.4,8.10,,
1373.6,8.70,,
1373.8,9.20,,
1374,9.70,,
1374.2,9.80,,
1374.4,9.60,,
1374.6,8.70,,
1374.8,8.10,,
1375,7.50,,
1375.2,7.70,,
1375.4,7.20,,
,,,
,,,
,,,
,,,
,,,
