OBJECTID,name,nr,Shape_Leng,Shape_Area,year
537,Vorderer ├ûlgruben Ferner,14018,4230.24387383694,283651.17173767000,2015
1047,Fasul Ferner M,13056,3639.57371733221,283362.66259002600,2015
572,Madatsch Ferner E,7009,3060.98943461988,280544.88214111300,2015
115,Gefrorene Wand Kees E,9109,3010.18181512111,277886.99938201900,2015
795,R├Ât Kees,9088,2428.84323383405,275974.85801696700,2015
863,Schwarzkarl Kees,5088,3038.22911432721,274964.67742919900,2015
501,Ramol Ferner,2079,3357.88646562335,274159.64914703300,2015
1030,Flirscher Ferner,13033,3111.35325876523,269156.99316024700,2015
718,Rainbach Kees,5154,2476.95626687014,269074.95389556800,2015
594,Wazebach Ferner,7012,3970.68498599184,267236.41426849300,2015
1063,Vogelmaier Ochsenkarkees ob.,5031,3566.70347752130,266489.48727416900,2015
243,Malham Kees N,6044,3331.26677247720,265901.92659759500,2015
945,K├ñlberspitz Kees,21015,2589.92373714223,265677.93139648400,2015
627,Bligg Ferner S,7015,4634.74254060719,265076.48991394000,2015
968,Westlicher Tripp Kees,21007,2538.22648245640,264877.02256774900,2015
346,Larstig Ferner,2007,3256.97639342492,264015.56017303400,2015
592,N├Ârdlicher L├Âcher Ferner,14032,2615.39467328631,262556.09735870300,2015
470,├£bergossene Alm W,5161,3449.47045379836,260611.68563842700,2015
